,number,name,group,subtopic,item_stem,responses
0,Q1,Important in life: Family,Important in life,Family,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all?","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
1,Q2,Important in life: Friends,Important in life,Friends,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all?","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
2,Q3,Important in life: Leisure time,Important in life,Leisure time,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all?","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
3,Q4,Important in life: Politics,Important in life,Politics,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all?","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
4,Q5,Important in life: Work,Important in life,Work,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all?","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
5,Q6,Important in life: Religion,Important in life,Religion,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all?","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
6,Q7,Important child qualities: Good manners,Important child qualities,Good manners,"Here is a list of qualities that children can be encouraged to learn at home. Which, if
any, do you consider to be especially important? Please choose up to five.","['2.- Not mentioned', '1.- Important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
7,Q27,One of main goals in life has been to make my parents proud,,One of main goals in life has been to make my parents proud,"For each of the following statements I read out, can you tell me how much you agree
with each. Do you agree strongly, agree, disagree, or disagree strongly? - One of my
main goals in life has been to make my parents proud","['1.- Agree strongly', '2.- Agree', '3.- Disagree', '4.- Strongly disagree', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
8,Q28,Pre-school child suffers with working mother,,Pre-school child suffers with working mother,"For each of the following statements I read out, can you tell me how much you agree
with each. Do you agree strongly, agree, disagree, or disagree strongly? - When a
mother works for pay, the children suffer","['1.- Agree strongly', '2.- Agree', '3.- Disagree', '4.- Strongly disagree', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
9,Q29,Men make better political leaders than women do,,Men make better political leaders than women do,"For each of the following statements I read out, can you tell me how much you agree
with each. Do you agree strongly, agree, disagree, or disagree strongly? - On the whole,
men make better political leaders than women do","['1.- Agree strongly', '2.- Agree', '3.- Disagree', '4.- Strongly disagree', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
10,Q30,University is more important for a boy than for a girl,,University is more important for a boy than for a girl,"For each of the following statements I read out, can you tell me how much you agree
with each. Do you agree strongly, agree, disagree, or disagree strongly? - A university
education is more important for a boy than for a girl","['1.- Agree strongly', '2.- Agree', '3.- Disagree', '4.- Strongly disagree']"
